nombre_original,nombre_google,direccion,municipio,estado,lat,lng,place_id
PREPA 4 CANSAHCAB,Preparatoria Estatal N°4 Victor Jesús Manzanilla Jimenez,"Calle 20 S/N, Cansahcab Centro, 97410 Cansahcab, Yuc., Mexico",,Yucatán,21.1620994,-89.10155590000001,ChIJN6PWgtwhVI8Ravkio-1hY-o
PREPARATORIA #5 AGUSTIN FRANCO VILLANUEVA,Prepa 5 Agustín Franco Villanueva,"Calle 67 por 50, Centro, 97000 Mérida, Yuc., Mexico",,Yucatán,20.9621119,-89.6168203,ChIJIbSz9slzVo8RQxua1oVCpug
VICTOR MANUEL CERVERA PACHECO,Victor Manuel Cervera Pacheco,"C. 76, Sta Rita, 97702 Tizimín, Yuc., Mexico",,Yucatán,21.1565847,-88.1650674,ChIJhZ2YaEorUo8RyS8y2t6BzQY
PREPARATORIA ESTATAL 2,State High School 2 General Salvador Alvarado,"C. 20 302-x18, Pedregales de Tanlum, 97210 Mérida, Yuc., Mexico",,Yucatán,21.0018903,-89.6282459,ChIJ____oxB0Vo8RjMpaEcMtAFw
PREPARATORIA MEXICO,Instituto México de Tizimin,"C. 51 457, Centro, 97702 Tizimín, Yuc., Mexico",,Yucatán,21.1460622,-88.1576436,ChIJV8fMDD0rUo8Rfs-Sf3VEoHI
PREPARATORIA MIGUEL ANGEL,Escuela Miguel Angel,"Calle 5 Sur N, San Antonio Cinta, 97139 Mérida, Yuc., Mexico",,Yucatán,21.006643,-89.5967386,ChIJowAh09F2Vo8RLiecw9xA6rI
PREPARATORIA PROGRESO,Preparatoria Progreso,"C. 44 145-7, Ismael García, 97320 Progreso, Yuc., Mexico",,Yucatán,21.286566,-89.64444999999999,ChIJ4-0aezXDVY8RGhCWTk9dgak
PREPARATORIA DE TAHDZIBICHEN,Escuela Preparatoria Estatal N°6 Alianza de Camioneros,"C. 64 602, entre 75 de la, Centro, 97000 Mérida, Yuc., Mexico",,Yucatán,20.9574484,-89.62768059999999,ChIJNayUjNZzVo8RY_E3gxXj-oI
PREPARATORIA YUCATAN,Preparatoria Abierta Yucatán,"Calle 31 A, y 29, entre 8, San Esteban, 97149 Mérida, Yuc., Mexico",,Yucatán,20.9958939,-89.5903041,ChIJY4D7ZStxVo8RIS7fdvhqQPo
PREPARATORIA 1 UADY,Preparatoria Uno UADY,"Calle 41 s/n, Industrial, 97155 Mérida, Yuc., Mexico",,Yucatán,20.9778007,-89.6007042,ChIJa7LkOTxxVo8RvCrRUS7dm_s
PREPARATORIA 3 UADY,UADY Unidad Académica Bachillerato con Interacción Comunitaria,"Calle 185 S/N x 90-B y 92, Sin Nombre de Col 18, 97290 Mérida, Yuc., Mexico",,Yucatán,20.898006,-89.65556459999999,ChIJC0nMY4ZtVo8R1LbmXlqXtm8
REPUBLICA DE MEXICO,Universidad República de México,"Calle 72 #453 por 53 y 51 (Santiago, Av. Reforma, Centro, 97000 Mérida, Yuc., Mexico",,Yucatán,20.9738329,-89.62929050000001,ChIJ6ZSvo-BzVo8RJ31-zRdYp-Y
ROGERS HALL,Rogers Hall,"Rogers Hall, C. 36, Campestre, 97120 Mérida, Yuc., Mexico",,Yucatán,21.0042573,-89.6172189,ChIJf_uwcq52Vo8RW803C0OZvmU
COBAY TEKAX,Bachelors School - School Tekax,"C. 55, Chobenché, 97970 Tekax de Álvaro Obregón, Yuc., Mexico",,Yucatán,20.2122282,-89.3040006,ChIJJ10ONxUEV48R89ZdNrA-UbI
UNIVERSIDAD TECMILENIO,TecMilenio University Merida,"Calle 53 Diagonal No. 665, Real Montejo, 97302 Mérida, Yuc., Mexico",,Yucatán,21.0382611,-89.6615886,ChIJp2ewQFZ0Vo8R2DhtMpg4hV4
TELEBACHILLERATO,TBCEY Tahcabo (Telebachillerato Comunitario de Tahcabo),"97746 Calotmul, Yuc., Mexico",,Yucatán,21.0550414,-88.079961,ChIJV6S2r8iHUY8RLyn5IrEZky4
COBAY TICUL,Escuela Preparatoria Cobay,"C. 41 187, Centro, 97860 Ticul, Yuc., Mexico",,Yucatán,20.3830993,-89.52936849999999,ChIJSb6QcV5SVo8R3oAJw2hp0N8
JOSE DOLORES RODRIGUEZ TICUL,CENTRO EDUCATIVO JOSE DOLORES RODRIGUEZ TAMAYO,"C. 18 entre 13 y 15, Col. Guadalupe, 97860 Ticul, Yuc., Mexico",,Yucatán,20.4054165,-89.5286088,ChIJGYM-Vj5SVo8RdnoVaCrW400
COBAY TIXPEUAL,COBAY PLANTEL TIXPEUAL,"C. 25 entre 17 y 19, Tixpéhual, 97386 Tixpéhual, Yuc., Mexico",,Yucatán,20.9805758,-89.44761079999999,ChIJZXi4Ojp8Vo8R-stCdSvkTzo
UABIC,UADY Unidad Académica Bachillerato con Interacción Comunitaria,"Calle 185 S/N x 90-B y 92, Sin Nombre de Col 18, 97290 Mérida, Yuc., Mexico",,Yucatán,20.898006,-89.65556459999999,ChIJC0nMY4ZtVo8R1LbmXlqXtm8
PREPARATORIA 2 UADY,Prepa 2,"C. 116 412, Bojórquez, 97230 Mérida, Yuc., Mexico",,Yucatán,20.9810547,-89.6561512,ChIJIVHjMZpzVo8REYY5rKGGmtI
UPP PREPA,Universidad Privada de la Península | Campus Mérida,"Av Jacinto Canek 739, Bojórquez, 97230 Mérida, Yuc., Mexico",,Yucatán,20.9819802,-89.6508747,ChIJMeeGHpFzVo8RrSRBQ2nXyBk
UVM,UVM Campus Mérida | Universidad en Yucatán,"Calle 79 500 Dzityá, Polígono, Carr. Mérida - Progreso, Sin Nombre de Col 27, 97302 Mérida, Yuc., Mexico",,Yucatán,21.0533036,-89.6313966,ChIJidTmDdF1Vo8RnkreCMutWUA
